gene_nodeId,disease_nodeId,dot_product,gene_id,gene_description,disease_id,disease_description
912,10779,17.710312,5215,TNF,C0040517,Gilles de la Tourette syndrome
912,9745,17.676582,5215,TNF,C0006413,Burkitt Lymphoma
912,10906,17.248795,5215,TNF,C0079588,"Ichthyosis, X-Linked"
938,10779,16.81377,4830,SOD2,C0040517,Gilles de la Tourette syndrome
938,9745,16.7797,4830,SOD2,C0006413,Burkitt Lymphoma
938,10906,16.374115,4830,SOD2,C0079588,"Ichthyosis, X-Linked"
912,10437,16.149782,5215,TNF,C0009404,Colorectal Neoplasms
868,10779,15.638285,3910,POMC,C0040517,Gilles de la Tourette syndrome
868,9745,15.610821,3910,POMC,C0006413,Burkitt Lymphoma
938,10437,15.33124,4830,SOD2,C0009404,Colorectal Neoplasms
927,10779,15.325385,2585,IL6,C0040517,Gilles de la Tourette syndrome
927,9745,15.295076,2585,IL6,C0006413,Burkitt Lymphoma
2,10779,15.248024,5241,TP53,C0040517,Gilles de la Tourette syndrome
868,10906,15.232458,3910,POMC,C0079588,"Ichthyosis, X-Linked"
2,9745,15.218925,5241,TP53,C0006413,Burkitt Lymphoma
927,10906,14.925196,2585,IL6,C0079588,"Ichthyosis, X-Linked"
2,10906,14.850628,5241,TP53,C0079588,"Ichthyosis, X-Linked"
930,10779,14.632756,4151,PTGS2,C0040517,Gilles de la Tourette syndrome
930,9745,14.60293,4151,PTGS2,C0006413,Burkitt Lymphoma
868,10437,14.26146,3910,POMC,C0009404,Colorectal Neoplasms
930,10906,14.250005,4151,PTGS2,C0079588,"Ichthyosis, X-Linked"
927,10437,13.974456,2585,IL6,C0009404,Colorectal Neoplasms
448,10779,13.966045,3222,MTHFR,C0040517,Gilles de la Tourette syndrome
448,9745,13.938858,3222,MTHFR,C0006413,Burkitt Lymphoma
2,10437,13.904429,5241,TP53,C0009404,Colorectal Neoplasms
26,10779,13.764864,4138,PTEN,C0040517,Gilles de la Tourette syndrome
26,9745,13.739729,4138,PTEN,C0006413,Burkitt Lymphoma
448,10906,13.601669,3222,MTHFR,C0079588,"Ichthyosis, X-Linked"
926,10779,13.479881,2571,IL1B,C0040517,Gilles de la Tourette syndrome
926,9745,13.4534025,2571,IL1B,C0006413,Burkitt Lymphoma
967,10779,13.413444,2501,IFNA2,C0040517,Gilles de la Tourette syndrome
26,10906,13.406952,4138,PTEN,C0079588,"Ichthyosis, X-Linked"
967,9745,13.389963,2501,IFNA2,C0006413,Burkitt Lymphoma
930,10437,13.342449,4151,PTGS2,C0009404,Colorectal Neoplasms
958,10779,13.310406,5141,TGFB1,C0040517,Gilles de la Tourette syndrome
958,9745,13.284684,5141,TGFB1,C0006413,Burkitt Lymphoma
870,10779,13.271833,3832,PLAT,C0040517,Gilles de la Tourette syndrome
875,10779,13.267653,2516,IFNG,C0040517,Gilles de la Tourette syndrome
870,9745,13.250496,3832,PLAT,C0006413,Burkitt Lymphoma
875,9745,13.2436695,2516,IFNG,C0006413,Burkitt Lymphoma
40,10779,13.151302,2808,KRAS,C0040517,Gilles de la Tourette syndrome
926,10906,13.128015,2571,IL1B,C0079588,"Ichthyosis, X-Linked"
40,9745,13.126047,2808,KRAS,C0006413,Burkitt Lymphoma
912,10340,13.0729885,5215,TNF,C1968949,Cakut
967,10906,13.065411,2501,IFNA2,C0079588,"Ichthyosis, X-Linked"
958,10906,12.963274,5141,TGFB1,C0079588,"Ichthyosis, X-Linked"
1174,10779,12.956189,5434,VEGFA,C0040517,Gilles de la Tourette syndrome
1174,9745,12.930779,5434,VEGFA,C0006413,Burkitt Lymphoma
870,10906,12.92886,3832,PLAT,C0079588,"Ichthyosis, X-Linked"
875,10906,12.922847,2516,IFNG,C0079588,"Ichthyosis, X-Linked"
912,9931,12.825103,5215,TNF,C2363142,T-Cell Prolymphocytic Leukemia
