gene_nodeId,disease_nodeId,dot_product,gene_id,gene_description,disease_id,disease_description
473,10779,17.710312,14466,FOXP2,C0040517,Gilles de la Tourette syndrome
473,9745,17.676582,14466,FOXP2,C0006413,Burkitt Lymphoma
473,10906,17.248795,14466,FOXP2,C0079588,"Ichthyosis, X-Linked"
473,10437,16.81377,14466,FOXP2,C0009404,Colorectal Neoplasms
473,10340,16.7797,14466,FOXP2,C1968949,Cakut
473,9931,16.374115,14466,FOXP2,C2363142,T-Cell Prolymphocytic Leukemia
473,10965,16.149782,14466,FOXP2,C0017205,Gaucher Disease
473,10964,15.638285,14466,FOXP2,C0376358,Malignant neoplasm of prostate
473,11251,15.610821,14466,FOXP2,C0005587,"Depression, Bipolar"
473,13208,15.33124,14466,FOXP2,C4551720,Primary Ciliary Dyskinesia
473,9787,15.325385,14466,FOXP2,C0025286,Meningioma
473,10602,15.295076,14466,FOXP2,C0085762,Alcohol abuse
473,11009,15.248024,14466,FOXP2,C0035220,"Respiratory Distress Syndrome, Newborn"
473,11226,15.232458,14466,FOXP2,C0036489,Sea-Blue Histiocyte Syndrome
473,9894,15.218925,14466,FOXP2,C0684249,Carcinoma of lung
473,9923,14.925196,14466,FOXP2,C1540912,Hypereosinophilic syndrome
473,9822,14.850628,14466,FOXP2,C0152018,Esophageal carcinoma
473,11008,14.632756,14466,FOXP2,C4704874,"Mammary Carcinoma, Human"
473,10381,14.60293,14466,FOXP2,C0002736,Amyotrophic Lateral Sclerosis
473,11682,14.26146,14466,FOXP2,C0025303,Meningococcal Infections
473,10119,14.250005,14466,FOXP2,C4072872,obsolete Rod-cone dystrophy
473,10685,13.974456,14466,FOXP2,C0039292,Tangier Disease
473,10441,13.966045,14466,FOXP2,C0003873,Rheumatoid Arthritis
473,11889,13.938858,14466,FOXP2,C0025193,Melancholia
473,10438,13.904429,14466,FOXP2,C0020538,Hypertensive disease
473,11892,13.764864,14466,FOXP2,C0086133,Depressive Syndrome
473,10402,13.739729,14466,FOXP2,C0149958,Complex partial seizures
473,9853,13.601669,14466,FOXP2,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma
473,9808,13.479881,14466,FOXP2,C0039538,Teratoma
473,9784,13.4534025,14466,FOXP2,C0024899,Mastocytosis
473,11478,13.413444,14466,FOXP2,C1863370,Saethre-Chotzen Syndrome with Eyelid Anomalies
473,9950,13.406952,14466,FOXP2,C0265234,Branchio-Oto-Renal Syndrome
473,10256,13.389963,14466,FOXP2,C1848561,Methylmalonic acidemia with homocystinuria
473,11438,13.342449,14466,FOXP2,C4279912,Chemically-Induced Liver Toxicity
473,11437,13.310406,14466,FOXP2,C4277682,Chemical and Drug Induced Liver Injury
473,11256,13.284684,14466,FOXP2,C1571983,Involutional paraphrenia
473,11436,13.271833,14466,FOXP2,C3658290,Drug-Induced Acute Liver Injury
473,18197,13.267653,14466,FOXP2,C1842581,Abnormal corpus callosum morphology
473,9779,13.250496,14466,FOXP2,C0024299,Lymphoma
473,11651,13.2436695,14466,FOXP2,C0338630,Senile Paranoid Dementia
473,11435,13.151302,14466,FOXP2,C1262760,"Hepatitis, Drug-Induced"
473,10439,13.128015,14466,FOXP2,C0237873,Physiological Sexual Disorders
473,11439,13.126047,14466,FOXP2,C0011880,Diabetic Ketoacidosis
473,10442,13.0729885,14466,FOXP2,C0011881,Diabetic Nephropathy
473,11650,13.065411,14466,FOXP2,C1136382,Sclerocystic Ovaries
473,20695,12.963274,14466,FOXP2,C1839839,MAJOR AFFECTIVE DISORDER 2
473,18367,12.956189,14466,FOXP2,C1861481,"Stickler syndrome, type 3"
473,11434,12.930779,14466,FOXP2,C0860207,Drug-Induced Liver Disease
473,10710,12.92886,14466,FOXP2,C1861065,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 9"
473,12433,12.922847,14466,FOXP2,C0393588,"Dystonia, Paroxysmal"
473,11673,12.825103,14466,FOXP2,C0269102,Endometrioma
