gene_nodeId,disease_nodeId,dot_product,gene_id,gene_description,disease_id,disease_description
388,10779,17.710312,4559,SCN1A,C0040517,Gilles de la Tourette syndrome
388,9745,17.676582,4559,SCN1A,C0006413,Burkitt Lymphoma
388,10906,17.248795,4559,SCN1A,C0079588,"Ichthyosis, X-Linked"
388,10437,16.81377,4559,SCN1A,C0009404,Colorectal Neoplasms
388,10340,16.7797,4559,SCN1A,C1968949,Cakut
388,9931,16.374115,4559,SCN1A,C2363142,T-Cell Prolymphocytic Leukemia
388,10965,16.149782,4559,SCN1A,C0017205,Gaucher Disease
388,10964,15.638285,4559,SCN1A,C0376358,Malignant neoplasm of prostate
388,11251,15.610821,4559,SCN1A,C0005587,"Depression, Bipolar"
388,13208,15.33124,4559,SCN1A,C4551720,Primary Ciliary Dyskinesia
388,9787,15.325385,4559,SCN1A,C0025286,Meningioma
388,10602,15.295076,4559,SCN1A,C0085762,Alcohol abuse
388,11009,15.248024,4559,SCN1A,C0035220,"Respiratory Distress Syndrome, Newborn"
388,11226,15.232458,4559,SCN1A,C0036489,Sea-Blue Histiocyte Syndrome
388,9894,15.218925,4559,SCN1A,C0684249,Carcinoma of lung
388,9923,14.925196,4559,SCN1A,C1540912,Hypereosinophilic syndrome
388,9822,14.850628,4559,SCN1A,C0152018,Esophageal carcinoma
388,11008,14.632756,4559,SCN1A,C4704874,"Mammary Carcinoma, Human"
388,10381,14.60293,4559,SCN1A,C0002736,Amyotrophic Lateral Sclerosis
388,11682,14.26146,4559,SCN1A,C0025303,Meningococcal Infections
388,10119,14.250005,4559,SCN1A,C4072872,obsolete Rod-cone dystrophy
388,10685,13.974456,4559,SCN1A,C0039292,Tangier Disease
388,10441,13.966045,4559,SCN1A,C0003873,Rheumatoid Arthritis
388,11889,13.938858,4559,SCN1A,C0025193,Melancholia
388,10438,13.904429,4559,SCN1A,C0020538,Hypertensive disease
388,11892,13.764864,4559,SCN1A,C0086133,Depressive Syndrome
388,10402,13.739729,4559,SCN1A,C0149958,Complex partial seizures
388,9853,13.601669,4559,SCN1A,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma
388,9808,13.479881,4559,SCN1A,C0039538,Teratoma
388,9784,13.4534025,4559,SCN1A,C0024899,Mastocytosis
388,11478,13.413444,4559,SCN1A,C1863370,Saethre-Chotzen Syndrome with Eyelid Anomalies
388,9950,13.406952,4559,SCN1A,C0265234,Branchio-Oto-Renal Syndrome
388,10256,13.389963,4559,SCN1A,C1848561,Methylmalonic acidemia with homocystinuria
388,11438,13.342449,4559,SCN1A,C4279912,Chemically-Induced Liver Toxicity
388,11437,13.310406,4559,SCN1A,C4277682,Chemical and Drug Induced Liver Injury
388,11256,13.284684,4559,SCN1A,C1571983,Involutional paraphrenia
388,11436,13.271833,4559,SCN1A,C3658290,Drug-Induced Acute Liver Injury
388,18197,13.267653,4559,SCN1A,C1842581,Abnormal corpus callosum morphology
388,9779,13.250496,4559,SCN1A,C0024299,Lymphoma
388,11651,13.2436695,4559,SCN1A,C0338630,Senile Paranoid Dementia
388,11435,13.151302,4559,SCN1A,C1262760,"Hepatitis, Drug-Induced"
388,10439,13.128015,4559,SCN1A,C0237873,Physiological Sexual Disorders
388,11439,13.126047,4559,SCN1A,C0011880,Diabetic Ketoacidosis
388,10442,13.0729885,4559,SCN1A,C0011881,Diabetic Nephropathy
388,11650,13.065411,4559,SCN1A,C1136382,Sclerocystic Ovaries
388,20695,12.963274,4559,SCN1A,C1839839,MAJOR AFFECTIVE DISORDER 2
388,18367,12.956189,4559,SCN1A,C1861481,"Stickler syndrome, type 3"
388,11434,12.930779,4559,SCN1A,C0860207,Drug-Induced Liver Disease
388,10710,12.92886,4559,SCN1A,C1861065,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 9"
388,12433,12.922847,4559,SCN1A,C0393588,"Dystonia, Paroxysmal"
388,11673,12.825103,4559,SCN1A,C0269102,Endometrioma
