gene_nodeId,disease_nodeId,dot_product,gene_id,gene_description,disease_id,disease_description
191,10779,17.710312,9076,SETBP1,C0040517,Gilles de la Tourette syndrome
191,9745,17.676582,9076,SETBP1,C0006413,Burkitt Lymphoma
191,10906,17.248795,9076,SETBP1,C0079588,"Ichthyosis, X-Linked"
191,10437,16.81377,9076,SETBP1,C0009404,Colorectal Neoplasms
191,10340,16.7797,9076,SETBP1,C1968949,Cakut
191,9931,16.374115,9076,SETBP1,C2363142,T-Cell Prolymphocytic Leukemia
191,10965,16.149782,9076,SETBP1,C0017205,Gaucher Disease
191,10964,15.638285,9076,SETBP1,C0376358,Malignant neoplasm of prostate
191,11251,15.610821,9076,SETBP1,C0005587,"Depression, Bipolar"
191,13208,15.33124,9076,SETBP1,C4551720,Primary Ciliary Dyskinesia
191,9787,15.325385,9076,SETBP1,C0025286,Meningioma
191,10602,15.295076,9076,SETBP1,C0085762,Alcohol abuse
191,11009,15.248024,9076,SETBP1,C0035220,"Respiratory Distress Syndrome, Newborn"
191,11226,15.232458,9076,SETBP1,C0036489,Sea-Blue Histiocyte Syndrome
191,9894,15.218925,9076,SETBP1,C0684249,Carcinoma of lung
191,9923,14.925196,9076,SETBP1,C1540912,Hypereosinophilic syndrome
191,9822,14.850628,9076,SETBP1,C0152018,Esophageal carcinoma
191,11008,14.632756,9076,SETBP1,C4704874,"Mammary Carcinoma, Human"
191,10381,14.60293,9076,SETBP1,C0002736,Amyotrophic Lateral Sclerosis
191,11682,14.26146,9076,SETBP1,C0025303,Meningococcal Infections
191,10119,14.250005,9076,SETBP1,C4072872,obsolete Rod-cone dystrophy
191,10685,13.974456,9076,SETBP1,C0039292,Tangier Disease
191,10441,13.966045,9076,SETBP1,C0003873,Rheumatoid Arthritis
191,11889,13.938858,9076,SETBP1,C0025193,Melancholia
191,10438,13.904429,9076,SETBP1,C0020538,Hypertensive disease
191,11892,13.764864,9076,SETBP1,C0086133,Depressive Syndrome
191,10402,13.739729,9076,SETBP1,C0149958,Complex partial seizures
191,9853,13.601669,9076,SETBP1,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma
191,9808,13.479881,9076,SETBP1,C0039538,Teratoma
191,9784,13.4534025,9076,SETBP1,C0024899,Mastocytosis
191,11478,13.413444,9076,SETBP1,C1863370,Saethre-Chotzen Syndrome with Eyelid Anomalies
191,10256,13.406952,9076,SETBP1,C1848561,Methylmalonic acidemia with homocystinuria
191,9950,13.389963,9076,SETBP1,C0265234,Branchio-Oto-Renal Syndrome
191,11438,13.342449,9076,SETBP1,C4279912,Chemically-Induced Liver Toxicity
191,11437,13.310406,9076,SETBP1,C4277682,Chemical and Drug Induced Liver Injury
191,11256,13.284684,9076,SETBP1,C1571983,Involutional paraphrenia
191,18197,13.271833,9076,SETBP1,C1842581,Abnormal corpus callosum morphology
191,11436,13.267653,9076,SETBP1,C3658290,Drug-Induced Acute Liver Injury
191,9779,13.250496,9076,SETBP1,C0024299,Lymphoma
191,11651,13.2436695,9076,SETBP1,C0338630,Senile Paranoid Dementia
191,11435,13.151302,9076,SETBP1,C1262760,"Hepatitis, Drug-Induced"
191,10439,13.128015,9076,SETBP1,C0237873,Physiological Sexual Disorders
191,10442,13.126047,9076,SETBP1,C0011881,Diabetic Nephropathy
191,11439,13.0729885,9076,SETBP1,C0011880,Diabetic Ketoacidosis
191,18367,13.065411,9076,SETBP1,C1861481,"Stickler syndrome, type 3"
191,20695,12.963274,9076,SETBP1,C1839839,MAJOR AFFECTIVE DISORDER 2
191,11650,12.956189,9076,SETBP1,C1136382,Sclerocystic Ovaries
191,11434,12.930779,9076,SETBP1,C0860207,Drug-Induced Liver Disease
191,10710,12.92886,9076,SETBP1,C1861065,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 9"
191,12433,12.922847,9076,SETBP1,C0393588,"Dystonia, Paroxysmal"
191,11673,12.825103,9076,SETBP1,C0269102,Endometrioma
